,bench_count,ID,atm_count,cafe_count,bicycle_parking_count,fountain_count,fast_food_count,shelter_count,vending_machine_count,waste_basket_count,recycling_count,drinking_water_count,toilet_count,geometry,tile_count,cluster_cat
1670,-2.0,1671,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"POLYGON ((16.35901485284101 48.14444724278857, 16.359012854627927 48.139950581355244, 16.365731149645406 48.13994904774055, 16.365733734642532 48.14444570892103, 16.35901485284101 48.14444724278857))",1,7
1671,0.0,1672,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,"POLYGON ((16.365733734642532 48.14444570892103, 16.365731149645406 48.13994904774055, 16.37244944401131 48.139947121430005, 16.37245261579226 48.14444378229596, 16.365733734642532 48.14444570892103))",1,7
1672,-2.0,1673,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.37245261579226 48.14444378229596, 16.37244944401131 48.139947121430005, 16.3791677375819 48.13994480242362, 16.379171496146444 48.14444146291348, 16.37245261579226 48.14444378229596))",1,7
1673,-2.0,1674,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.379171496146444 48.14444146291348, 16.3791677375819 48.13994480242362, 16.385886030213435 48.139942090721576, 16.385890375561285 48.144438750773766, 16.379171496146444 48.14444146291348))",1,7
1674,-4.0,1675,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,-4.0,-1.0,1.0,0.0,"POLYGON ((16.385890375561285 48.144438750773766, 16.385886030213435 48.139942090721576, 16.392604321762196 48.13993898632402, 16.392609253893006 48.14443564587692, 16.385890375561285 48.144438750773766))",1,0
1675,-2.0,1676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-2.0,-1.0,0.0,"POLYGON ((16.392609253893006 48.14443564587692, 16.392604321762196 48.13993898632402, 16.39932261208444 48.139935489231114, 16.399328130997816 48.14443214822307, 16.392609253893006 48.14443564587692))",1,0
1676,11.0,1677,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"POLYGON ((16.399328130997816 48.14443214822307, 16.39932261208444 48.139935489231114, 16.40604090103642 48.13993159944302, 16.40604700673195 48.144428257812464, 16.399328130997816 48.14443214822307))",1,7
1677,-2.0,1678,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,"POLYGON ((16.40604700673195 48.144428257812464, 16.40604090103642 48.13993159944302, 16.412759188474414 48.13992731695999, 16.412765880951618 48.1444239746453, 16.40604700673195 48.144428257812464))",1,7
1678,-2.0,1679,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.412765880951618 48.1444239746453, 16.412759188474414 48.13992731695999, 16.419477474254677 48.139922641782256, 16.41948475351306 48.144419298721814, 16.412765880951618 48.1444239746453))",1,7
1679,-2.0,1680,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.41948475351306 48.144419298721814, 16.419477474254677 48.139922641782256, 16.426195758233476 48.13991757391004, 16.426203624272457 48.144414230042244, 16.41948475351306 48.144419298721814))",1,7
1680,-2.0,1681,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.426203624272457 48.144414230042244, 16.426195758233476 48.13991757391004, 16.432914040267082 48.13991211334363, 16.432922493086057 48.144408768606866, 16.426203624272457 48.144414230042244))",1,7
1681,-1.0,1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"POLYGON ((16.432922493086057 48.144408768606866, 16.432914040267082 48.13991211334363, 16.439632320211746 48.13990626008331, 16.43964135981008 48.144402914416006, 16.432922493086057 48.144408768606866))",1,4
1682,-1.0,1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.43964135981008 48.144402914416006, 16.439632320211746 48.13990626008331, 16.44635059792375 48.1399000141294, 16.44636022430073 48.144396667469934, 16.43964135981008 48.144402914416006))",1,4
1683,-1.0,1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.44636022430073 48.144396667469934, 16.44635059792375 48.1399000141294, 16.453068873259355 48.13989337548225, 16.453079086414235 48.14439002776899, 16.44636022430073 48.144396667469934))",1,4
1684,-2.0,1685,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,"POLYGON ((16.453079086414235 48.14439002776899, 16.453068873259355 48.13989337548225, 16.459787146074817 48.139886344142205, 16.45979794600683 48.14438299531359, 16.453079086414235 48.14439002776899))",1,7
1685,-2.0,1686,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.45979794600683 48.14438299531359, 16.459787146074817 48.139886344142205, 16.466505416226415 48.13987892010966, 16.466516802934713 48.144375570104046, 16.45979794600683 48.14438299531359))",1,7
1686,-2.0,1687,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.540424012151025 48.144267971156154, 16.54040617097105 48.13977133817469, 16.547124397945126 48.13975920186905, 16.547142825887935 48.14425583293428, 16.540424012151025 48.144267971156154))",1,7
1687,-2.0,1688,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.547142825887935 48.14425583293428, 16.547124397945126 48.13975920186905, 16.553842620386824 48.13974667287775, 16.553861635091064 48.14424330196508, 16.547142825887935 48.14425583293428))",1,7
1688,-2.0,1689,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.553861635091064 48.14424330196508, 16.553842620386824 48.13974667287775, 16.560560838152437 48.13973375120139, 16.560580439616643 48.14423037824926, 16.553861635091064 48.14424330196508))",1,7
1689,-1.0,1690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.560580439616643 48.14423037824926, 16.560560838152437 48.13973375120139, 16.56727905109822 48.139720436840726, 16.567299239320896 48.144217061787536, 16.560580439616643 48.14423037824926))",1,4
1690,-1.0,1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.567299239320896 48.144217061787536, 16.56727905109822 48.139720436840726, 16.573997259080453 48.13970672979644, 16.574018034060046 48.144203352580554, 16.567299239320896 48.144217061787536))",1,4
1691,-1.0,1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.574018034060046 48.144203352580554, 16.573997259080453 48.13970672979644, 16.58071546195542 48.13969263006925, 16.580736823690344 48.14418925062908, 16.574018034060046 48.144203352580554))",1,4
1692,-1.0,1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.217928763305043 48.13989207454494, 16.217939085013434 48.135395418498454, 16.224656773876625 48.13540213044442, 16.224647038802427 48.1398987875316, 16.217928763305043 48.13989207454494))",1,4
1693,-1.0,1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.224647038802427 48.1398987875316, 16.224656773876625 48.13540213044442, 16.23137446510596 48.13540844975865, 16.231365316666686 48.13990510782497, 16.224647038802427 48.1398987875316))",1,4
1694,2.0,1695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,"POLYGON ((16.231365316666686 48.13990510782497, 16.23137446510596 48.13540844975865, 16.238092158557752 48.13541437644087, 16.23808359675411 48.13991103542472, 16.231365316666686 48.13990510782497))",1,4
1695,-2.0,1696,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,"POLYGON ((16.23808359675411 48.13991103542472, 16.238092158557752 48.13541437644087, 16.244809854088306 48.13541991049079, 16.244801878920942 48.13991657033048, 16.23808359675411 48.13991103542472))",1,7
1696,-2.0,1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,"POLYGON ((16.244801878920942 48.13991657033048, 16.244809854088306 48.13541991049079, 16.25152755155394 48.13542505190804, 16.251520163023468 48.13992171254207, 16.244801878920942 48.13991657033048))",1,7
1697,6.0,1698,0.0,0.0,-1.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,"POLYGON ((16.251520163023468 48.13992171254207, 16.25152755155394 48.13542505190804, 16.25824525081096 48.13542980069239, 16.258238448917936 48.13992646205914, 16.251520163023468 48.13992171254207))",1,7
1698,4.0,1699,0.0,-1.0,-3.0,0.0,-1.0,0.0,1.0,1.0,-2.0,0.0,0.0,"POLYGON ((16.258238448917936 48.13992646205914, 16.25824525081096 48.13542980069239, 16.26496295171569 48.135434156843594, 16.264956736460604 48.139930818881474, 16.258238448917936 48.13992646205914))",1,3
